overall,reviewText,summary,documents
5.0,Great little razor and brush stand. Good quality. Easily assembled. Breaks down to fit in small toiletry bag for travel.  I rest my brush and disposable Sensor3 razor in it.,Great stand for badger brush and razor.,"['great', 'little', 'razor', 'brush', 'stand', 'good', 'quality', 'easily', 'assemble', 'break', 'fit', 'small', 'toiletry', 'bag', 'travel', 'rest', 'brush', 'disposable', 'sensor', 'razor']"
5.0,Just what I expected!,Five Stars,['expect']
1.0,Don't waste your money on this pos.  The stem won't screw into the base.  Very wobbly.,One Star,"['nt', 'waste', 'money', 'pos', 'stem', 'wo', 'nt', 'screw', 'base', 'wobbly']"
5.0,"I bought this terrific chrome razor and brush stand for my teenage grandson and he loves it. It's weighted at the base for stability, fits the pure badger brush ( also purchased from this company ), looks sharp on his counter and keeps his shaving products mildew free and at-the-ready. Don't hesitate to buy!","Attractive, weighted Razor and Brush stand is perfect!","['buy', 'terrific', 'chrome', 'razor', 'brush', 'stand', 'teenage', 'grandson', 'love', 'weighted', 'base', 'stability', 'fit', 'pure', 'badger', 'brush', 'also', 'purchase', 'company', 'look', 'sharp', 'counter', 'keep', 'shaving', 'product', 'mildew', 'free', 'attheready', 'nt', 'hesitate', 'buy']"
2.0,Does not hold razor effectively... slips off.  Does hold brush well.,Two Stars,"['hold', 'razor', 'effectively', 'slip', 'hold', 'brush', 'well']"
5.0,Great stand with a reasonable price.,Five Stars,"['great', 'stand', 'reasonable', 'price']"
5.0,Very nice design. Works well and is stable.,Efficient design,"['nice', 'design', 'work', 'well', 'stable']"
3.0,Works just as intended,Three Stars,"['work', 'intend']"
5.0,"So far so good. My brush and razor fit fine. Can't complain.

A nice chrome finish, looks clean.

Can't beat the price!","A nice stand, at a nice price.","['far', 'good', 'brush', 'razor', 'fit', 'fine', 'ca', 'nt', 'complain', 'nice', 'chrome', 'finish', 'look', 'clean', 'ca', 'nt', 'beat', 'price']"
4.0,Looks very nice and functions as promised.,Four Stars,"['look', 'nice', 'function', 'promise']"
5.0,Sturdy and looks great on my bathroom countertop.,Sturdy and good looking,"['sturdy', 'look', 'great', 'bathroom', 'countertop']"
5.0,"Well made, sturdy stand. No complaints and love the look.",Well made stand,"['well', 'make', 'sturdy', 'stand', 'complaint', 'love', 'look']"
4.0,"It's nice and well made, just be aware that it will not fit the Gillette handles (at least not the flexball type), although you can sort of get it in there sideways.  Gave it 4 stars because it is well made, but disappointed it doesn't accommodate the best selling handle in the country.","Well made, but does not fit Gillette razors.","['nice', 'well', 'make', 'aware', 'fit', 'gillette', 'handle', 'least', 'flexball', 'type', 'although', 'sort', 'get', 'sideways', 'give', 'star', 'well', 'make', 'disappointed', 'nt', 'modate', 'good', 'sell', 'handle', 'country']"
5.0,Perfect - kept in my bathroom and not a hint of rust or tarnishing. Holds razor and brush perfectly. Highly recommended.,Still perfect after 2 years,"['perfect', 'keep', 'bathroom', 'hint', 'rust', 'tarnish', 'hold', 'razor', 'brush', 'perfectly', 'highly', 'mended']"
5.0,"This is a very durable and we'll made stand. It has a slip resistance bottom. Does not slide easy on the vanity topp. Nice polished chrome and heavy feeling. This was money well spent, and it's priced good.",Money well spent!!,"['durable', 'make', 'stand', 'slip', 'resistance', 'bottom', 'slide', 'easy', 'vanity', 'topp', 'nice', 'polished', 'chrome', 'heavy', 'feel', 'money', 'well', 'spend', 'price', 'good']"
5.0,"I was pleasantly surprised with the quality.  I'm only using it to hold a Merkur razor right now, but it stands up just fine even without the brush.","Good quality, holds razor well.","['pleasantly', 'surprised', 'quality', 'use', 'hold', 'merkur', 'razor', 'right', 'stand', 'fine', 'even', 'without', 'brush']"
5.0,This is an inexpensive but very functional holder. Takes up very little space and is a heavy and well made item. Serves me well. I use the Perfecto Badger brush and Merkur 34C with it.,This is an inexpensive but very functional holder. Takes ...,"['inexpensive', 'functional', 'holder', 'take', 'little', 'space', 'heavy', 'well', 'make', 'item', 'serve', 'well', 'use', 'perfecto', 'badger', 'brush', 'merkur', 'c']"
5.0,"Sturdy stand and it looks nice in the bathroom. The Gillette razor I have been using doesn't fit very well, as it slides out easily.",Sturdy stand and it looks nice in the bathroom,"['sturdy', 'stand', 'look', 'nice', 'bathroom', 'gillette', 'razor', 'use', 'nt', 'fit', 'well', 'slide', 'easily']"
5.0,"As soon as I started using it, I forgot about it. Made right, no issues.",Five Stars,"['soon', 'start', 'use', 'forgot', 'make', 'right', 'issue']"
5.0,I give it a five star reviews because it's exactly what they promised. Looks nice and fits my set. I didn't have any  problem with it being lose like I saw in some other reviews.,Looks nice and fits my set,"['give', 'five', 'star', 'review', 'exactly', 'promise', 'look', 'nice', 'fit', 'set', 'nt', 'problem', 'lose', 'like', 'see', 'review']"
5.0,Fast shipping. Great product and has lasted.,Great product and has lasted,"['fast', 'shipping', 'great', 'product', 'last']"
5.0,The stand is modern looking. It fits my shaving brush and razor perfectly. It eliminates my old clutter:  It's good value for your money.,It's good value for your money,"['stand', 'modern', 'look', 'fit', 'shaving', 'brush', 'razor', 'perfectly', 'eliminate', 'old', 'clutter', 'good', 'value', 'money']"
4.0,"This stand is well made and attractive.  However, I use it with a Gillette Fusion cartridge razor and while I can get the razor to stay in, it is tricky and sometimes slips out.",Looks great but ...,"['stand', 'well', 'make', 'attractive', 'however', 'use', 'gillette', 'fusion', 'cartridge', 'razor', 'get', 'razor', 'stay', 'tricky', 'sometimes', 'slip']"
5.0,Works awesome.,Five Stars,"['work', 'awesome']"
5.0,"Great stand, fast shipping, works great with my Viking Chieftain razor and Perfecto brush.",Great Stand.,"['great', 'stand', 'fast', 'shipping', 'work', 'great', 'vike', 'chieftain', 'razor', 'perfecto', 'brush']"
3.0,Would be better if it held my badger brush better. My brush falls off it easily.,Its okay,"['would', 'well', 'hold', 'badger', 'brush', 'well', 'brush', 'falls', 'easily']"
5.0,Great !!!,Five Stars,['great']
5.0,Very nicely made! Real weight to it and it is very well balanced.,Five Stars,"['nicely', 'make', 'real', 'weight', 'well', 'balance']"
4.0,Was as expected.,Four Stars,['expect']
5.0,does the job,Five Stars,['job']
5.0,"This stand is excellent!  It is sturdy, properly weighted, and does not wobble.  The chrome plating and the fit of all component parts are high quality.  The stand is tall enough to accommodate my antique brush, which has longer bristles than newer models, and easily works with a long-handled razor.  This is exactly what I was looking for in every respect.  Thanks for a great product at a fair price!",This stand is excellent! It is sturdy,"['stand', 'excellent', 'sturdy', 'properly', 'weighted', 'wobble', 'chrome', 'plating', 'fit', 'component', 'part', 'high', 'quality', 'stand', 'tall', 'enough', 'modate', 'antique', 'brush', 'long', 'bristle', 'new', 'model', 'easily', 'work', 'longhandle', 'razor', 'exactly', 'look', 'every', 'respect', 'thanks', 'great', 'product', 'fair', 'price']"
4.0,"Very sturdy, I love the look. Their razor fits nicely into it. It may only fit the bristle brushes that they sell.  I had another brush from a different company and it doesn't fit.","Very sturdy, I love the look","['sturdy', 'love', 'look', 'razor', 'fit', 'nicely', 'may', 'fit', 'bristle', 'brush', 'sell', 'another', 'brush', 'different', 'company', 'nt', 'fit']"
5.0,very sturdy and looks fantastic on the counter.,Five Stars,"['sturdy', 'look', 'fantastic', 'counter']"
5.0,Amazing! Classic elegant looking great price very happy with purchase!,Five Stars,"['amazing', 'classic', 'elegant', 'look', 'great', 'price', 'happy', 'purchase']"
5.0,"After using the cheap plastic versions, I finally broke down and bought one, then immediately bought a second one for my son.",Practical and good-looking,"['use', 'cheap', 'plastic', 'version', 'finally', 'broke', 'buy', 'one', 'immediately', 'buy', 'second', 'one', 'son']"
5.0,Well made and just what I needed to keep my shaving gear organized.,Perfect for shaving,"['well', 'make', 'need', 'keep', 'shaving', 'gear', 'organize']"
5.0,Got this for my husband and it looks pretty fancy and sturdy,Stylish,"['get', 'husband', 'look', 'pretty', 'fancy', 'sturdy']"
5.0,Arrived and performs as presented. Not unattractive and well made sink top storage for my Merkur and badger,Five Stars,"['arrive', 'perform', 'present', 'unattractive', 'well', 'make', 'sink', 'top', 'storage', 'merkur', 'badger']"
5.0,"This stand is very well constructed and should last for a very long time. Hanging the brush bristles down is so important to maintaining the brush that everyone that uses a brush and shaving soap should have a stand. If you need a stand, this stand is an excellent choice and value.",This stand is an excellent choice and value.,"['stand', 'well', 'construct', 'last', 'long', 'time', 'hang', 'brush', 'bristle', 'important', 'maintain', 'brush', 'everyone', 'use', 'brush', 'shaving', 'soap', 'stand', 'need', 'stand', 'stand', 'excellent', 'choice', 'value']"
5.0,"The Perfecto Deluxe Chrome Razor & Brush stand is a must have for anyone who prefers a wet shave. This beautifully chromed, solidly constructed unit has  perfectly fashioned prongs to support and display any double edged razor and shaving brush, along with an appealing knurled center post and a weighted base.
For me, this is THE razor/brush stand to have. No nonsense, visually appealing, functional and well made, all at a great price.
Mine came from Pop! Shop through Amazon and rapid delivery & courteous follow up made the experience a pleasure.",Truly Terrific Razor/Brush Stand,"['perfecto', 'deluxe', 'chrome', 'razor', 'brush', 'stand', 'must', 'anyone', 'prefer', 'wet', 'shave', 'beautifully', 'chromed', 'solidly', 'construct', 'unit', 'perfectly', 'fashioned', 'prong', 'support', 'display', 'double', 'edge', 'razor', 'shaving', 'brush', 'along', 'appeal', 'knurle', 'center', 'post', 'weighted', 'base', 'razorbrush', 'stand', 'nonsense', 'visually', 'appeal', 'functional', 'well', 'make', 'great', 'price', 'mine', 'come', 'pop', 'shop', 'amazon', 'rapid', 'delivery', 'courteous', 'follow', 'make', 'experience', 'pleasure']"
5.0,Quality and stylish product. Keeps my shaving tools organize and dry.,Five Stars,"['quality', 'stylish', 'product', 'keep', 'shaving', 'tool', 'organize', 'dry']"
5.0,Boyfriend says it's good!,Gift for Boyfriend,"['boyfriend', 'say', 'good']"
5.0,Just what I needed.,Great,['need']
5.0,nice stand. works well and looks good,Five Stars,"['nice', 'stand', 'work', 'well', 'look', 'good']"
5.0,Great item and transaction!,Five Stars,"['great', 'item', 'transaction']"
5.0,Looks and works very good and would recommend to others who need,Five Stars,"['look', 'work', 'good', 'would', 'mend', 'other', 'need']"
5.0,"I recently purchased this stand along with my very first safety razor and badger brush. The item matches the display photos and description very closely. I was impressed with the overall quality of materials used and the appearance of the stand. If you have a chrome plated style safety razor, this stand is a great compliment to the finish of your razor.",Great Value for a Classy and Functional Stand,"['recently', 'purchase', 'stand', 'along', 'first', 'safety', 'razor', 'badger', 'brush', 'item', 'match', 'display', 'photo', 'description', 'closely', 'impress', 'overall', 'quality', 'material', 'use', 'appearance', 'stand', 'chrome', 'plate', 'style', 'safety', 'razor', 'stand', 'great', 'compliment', 'finish', 'razor']"
5.0,"I've been reaching in a drawer for my double edge razor for years, occasionally cutting myself by grabbing the blade side.  Two weeks ago was the last time, I ordered the stand and my index finger is healing just fine, I must say.. The brush hanger side is a bonus.",The End of Finger Slices,"['reach', 'drawer', 'double', 'edge', 'razor', 'year', 'occasionally', 'cut', 'grab', 'blade', 'side', 'two', 'week', 'ago', 'last', 'time', 'order', 'stand', 'index', 'finger', 'healing', 'fine', 'must', 'say', 'brush', 'hanger', 'side', 'bonus']"
5.0,Great so far!,Thumbs up,"['great', 'far']"
5.0,Great deal on a great product!,Five Stars,"['great', 'deal', 'great', 'product']"
5.0,Very nice quality and matches perfectly with my Merkur 34C razor.,Great product!,"['nice', 'quality', 'match', 'perfectly', 'merkur', 'c', 'razor']"
4.0,"Really like this stand.  My only criticism, and reason I give it 4 stars, is that in spite of all the reviews that said Harry's razors would fit, it is only a half truth.  The razor dose indeed ""fit,"" but the fit is tight and only at one narrow spot well below the blade.  Further, when I take the razor off the stand I must hold the stand with one hand and pull the razor out with the other.  My Tweezerman brush fits wonderfully, and truthfully the tight razor fit is a minor irritant.  Other than that the stand is very well made and looks good on my counter.",In spite of reviews Harry's razor does not fit perfectly!!,"['really', 'like', 'stand', 'criticism', 'reason', 'give', 'star', 'spite', 'review', 'say', 'harry', 'razor', 'would', 'fit', 'half', 'truth', 'razor', 'dose', 'indeed', 'fit', 'fit', 'tight', 'one', 'narrow', 'spot', 'well', 'blade', 'take', 'razor', 'stand', 'must', 'hold', 'stand', 'one', 'hand', 'pull', 'razor', 'tweezerman', 'brush', 'fit', 'wonderfully', 'truthfully', 'tight', 'razor', 'fit', 'minor', 'irritant', 'stand', 'well', 'make', 'look', 'good', 'counter']"
5.0,"This stand is great, it has weight to it and there is no wiggling to the stand when you're moving it.","This stand is great, it has weight to it and there is ...","['stand', 'great', 'weight', 'wiggle', 'stand', 'move']"
4.0,"Works and good, accidentally ordered two and glad I did as one was broken.",Four Stars,"['work', 'good', 'accidentally', 'order', 'two', 'glad', 'one', 'break']"
5.0,"I really cannot complain with this product. I needed a stand, and this worked out great with what I have. Looks good in my medicine cabinet :)",I like it.,"['really', 'complain', 'product', 'need', 'stand', 'work', 'great', 'look', 'good', 'medicine', 'cabinet']"
5.0,Great quality for the price.,Five Stars,"['great', 'quality', 'price']"
4.0,"Absolutely fits the bill, keeps my razor and brush stable, secure and avoids mess. What else could I want?",An excellent product that does what it promises to do.,"['absolutely', 'fit', 'bill', 'keep', 'razor', 'brush', 'stable', 'secure', 'avoid', 'mess', 'else', 'could', 'want']"
5.0,Nice stand. Arrived in good condition. My wife still won't let me leave on the counter,Five Stars,"['nice', 'stand', 'arrive', 'good', 'condition', 'wife', 'still', 'wo', 'nt', 'let', 'leave', 'counter']"
5.0,"Excellent stand, classy and simple. Great vendor!",Five Stars,"['excellent', 'stand', 'classy', 'simple', 'great', 'vendor']"
5.0,"Came fully assembled. Fits my Merkur razor perfectly, and my Art of Shaving brush also fits, although I have to slide it in right where the quills meet the handle instead of at the bottom of the handle like shown in the picture. This hasn't been a problem so far. I was a little worried that the brush wouldn't fit at all being a different brand than the stand, so I'm glad it does. The stand looks sharp and clean, and feels solidly made.",Quality stand,"['come', 'fully', 'assemble', 'fit', 'merkur', 'razor', 'perfectly', 'art', 'shaving', 'brush', 'also', 'fit', 'although', 'slide', 'right', 'quills', 'meet', 'handle', 'instead', 'bottom', 'handle', 'like', 'show', 'picture', 'nt', 'problem', 'far', 'little', 'worried', 'brush', 'would', 'nt', 'fit', 'different', 'brand', 'stand', 'glad', 'stand', 'look', 'sharp', 'clean', 'feel', 'solidly', 'make']"
5.0,"It functions like it should.
And it looks nice.
And it seems like it was made well.
And it matches my razor.",Does What It Should,"['function', 'like', 'look', 'nice', 'seem', 'like', 'make', 'well', 'match', 'razor']"
5.0,"Good universal fit for a safety razor and brush. Unexpected bonus that the pattern matched up with my razor very well, also. Nice way to store the shaving essentials.",Works well as advertised,"['good', 'universal', 'fit', 'safety', 'razor', 'brush', 'unexpected', 'bonus', 'pattern', 'match', 'razor', 'well', 'also', 'nice', 'way', 'store', 'shaving', 'essentials']"
2.0,"Rusted out pretty quickly.  The opening for the razor was also too narrow.  Looked nice when new, though.",Rusted out pretty quickly. The opening for the razor was also ...,"['rust', 'pretty', 'quickly', 'opening', 'razor', 'also', 'narrow', 'look', 'nice', 'new', 'though']"
5.0,Well made and sturdy. I bought this over a year ago when I first got into the safety razor and brush game. It is extremely useful to hold and and dry your shaving brush to keep bacteria and mold to grow. It has a nice clean chrome finish and is very durable- not cheaply made. Good for the price.,"Sturdy, useful, and with a clean look","['well', 'make', 'sturdy', 'buy', 'year', 'ago', 'first', 'get', 'safety', 'razor', 'brush', 'game', 'extremely', 'useful', 'hold', 'dry', 'shaving', 'brush', 'keep', 'bacteria', 'mold', 'grow', 'nice', 'clean', 'chrome', 'finish', 'durable', 'cheaply', 'make', 'good', 'price']"
5.0,"Fits my brush and razor perfect, love it so far.",Five Stars,"['fit', 'brush', 'razor', 'perfect', 'love', 'far']"
5.0,Great product.  Good price.  No complaints.,Five Stars,"['great', 'product', 'good', 'price', 'complaint']"
4.0,"love this stand, however my gillette razor with the swivel ball just about fits.",Four Stars,"['love', 'stand', 'however', 'gillette', 'razor', 'swivel', 'ball', 'fit']"
5.0,"What a great item, I wish I would have bought this earlier!  I would recommend this to everyone!",I wish I would have bought this earlier!,"['great', 'item', 'wish', 'would', 'buy', 'early', 'would', 'mend', 'everyone']"
5.0,"Very sturdy, holds my brush and razor perfectly.",Perfecto,"['sturdy', 'hold', 'brush', 'razor', 'perfectly']"
5.0,I bought this stand to clear up clutter on my vanity. It's heavy enough to be stable and does what it's supposed to.,I bought this stand to clear up clutter on my ...,"['buy', 'stand', 'clear', 'clutter', 'vanity', 'heavy', 'enough', 'stable', 'suppose']"
5.0,Perfect for holding my Viking razor.,Five Stars,"['perfect', 'hold', 'vike', 'razor']"
5.0,Love it! It has a beautiful high chromed finish and is excellent quality. It sits solidly on the counter and my brush and razor fit perfectly. I definitely recommend this product.,Definitely Recommend This Product,"['love', 'beautiful', 'high', 'chromed', 'finish', 'excellent', 'quality', 'sit', 'solidly', 'counter', 'brush', 'razor', 'fit', 'perfectly', 'definitely', 'mend', 'product']"
5.0,"This was a gift for my husband.  So far he likes the brush and holder.  As described in an email from the company, the brush did lose some hairs in the beginning but that has subsided.  I feel it was a good purchase.",Gift for husband,"['gift', 'husband', 'far', 'like', 'brush', 'holder', 'describe', 'email', 'company', 'brush', 'lose', 'hair', 'begin', 'subsided', 'feel', 'good', 'purchase']"
5.0,"I bought this stand, a shaving cup, and a brush for my son-in-law for Fathers' Day.  He was absolutely thrilled with the gift.  He informed me that the past few brushes have broken, and he thinks that he'll be able to safeguard the new brush by hanging it on the stand (he's never had a stand before.)  He is SO-O DIFFICULT to buy gifts for.  I was grateful that my daughter alerted me that he needed a new shaving set.",Yay!  I hit gold with the shaving supplies,"['buy', 'stand', 'shaving', 'cup', 'brush', 'soninlaw', 'father', 'day', 'absolutely', 'thrill', 'gift', 'inform', 'past', 'brush', 'break', 'think', 'able', 'safeguard', 'new', 'brush', 'hang', 'stand', 'never', 'stand', 'soo', 'difficult', 'buy', 'gift', 'grateful', 'daughter', 'alerted', 'need', 'new', 'shaving', 'set']"
5.0,Feels very solid. Good quality,Good quality,"['feel', 'solid', 'good', 'quality']"
2.0,"This thing is a piece of junk.  The rubber bottom, while it helps to keep the unit from sliding around, has the added caveat of remaining wet for a long period of time after a shave.  How do you dry it?  I don't know.  Perhaps by turning it on its side until it air dries.  In  the meantime, what then to do with one's razor and, more importantly, one's shaving brush which must be stored with the bristles facing downward so the knot does not get ruined from getting soaked?  Also, this unit is rather tall, so it will not easily fit into a cabinet recess or on a cabinet shelf.  I guess the unit is okay as long as you can leave it out, but I would still recommend placing it on  a dry paper towel after shaving to prevent mildew from forming and, worse, spreading.  Legionnaire's, anyone?",leave it out or forget it,"['thing', 'piece', 'junk', 'rubber', 'bottom', 'help', 'keep', 'unit', 'slide', 'around', 'add', 'caveat', 'remain', 'wet', 'long', 'period', 'time', 'shave', 'dry', 'nt', 'know', 'perhaps', 'turn', 'side', 'air', 'dry', 'meantime', 'one', 'razor', 'importantly', 'one', 'shaving', 'brush', 'must', 'store', 'bristle', 'face', 'downward', 'knot', 'get', 'ruin', 'get', 'soak', 'also', 'unit', 'rather', 'tall', 'easily', 'fit', 'cabinet', 'recess', 'cabinet', 'shelf', 'guess', 'unit', 'okay', 'long', 'leave', 'would', 'still', 'mend', 'place', 'dry', 'paper', 'towel', 'shaving', 'prevent', 'mildew', 'form', 'bad', 'spread', 'legionnaire', 'anyone']"
5.0,Excelent!,Five Stars,['excelent']
5.0,Great quality stand and it work just fine. Just purchase my second one for my brother and he like it .,Five Stars,"['great', 'quality', 'stand', 'work', 'fine', 'purchase', 'second', 'one', 'brother', 'like']"
5.0,Very sturdy and easy to assemble.  Brush and razor fit perfect.,Great product,"['sturdy', 'easy', 'assemble', 'brush', 'razor', 'fit', 'perfect']"
5.0,This is an ideal stand for the SUPERIOR Perfecto Shave Brush and my Merkur razor.,Elegant and Necessary... for the DE Shaver,"['ideal', 'stand', 'superior', 'perfecto', 'shave', 'brush', 'merkur', 'razor']"
3.0,"I ordered the Perfecto Deluxe Chrome Razor/Brush stand along with the  ""Parker Safety Razor SYNTHETIC Bristle Shaving Brush with Blue Wood Handle"" as shown in the ""Frequently bought together"" section on Amazon.  Pay close attention to what the ordering instructions say.  Don't order the stand before you measure the brush.  The brush is not a good fit with this stand.  It can work but the brush tilts sideways. I believed the frequently bought together claim thinking it would provide a good fit with the brush.  It fits fine with my razor.  I may be sending the stand back to Amazon.  Otherwise the stand is all that is promised.  The brush I am keeping!",The brush is not a good fit with this stand,"['order', 'perfecto', 'deluxe', 'chrome', 'razorbrush', 'stand', 'along', 'parker', 'safety', 'razor', 'synthetic', 'bristle', 'shaving', 'brush', 'blue', 'wood', 'handle', 'show', 'frequently', 'buy', 'together', 'section', 'amazon', 'pay', 'close', 'attention', 'order', 'instruction', 'say', 'nt', 'order', 'stand', 'measure', 'brush', 'brush', 'good', 'fit', 'stand', 'work', 'brush', 'tilt', 'sideways', 'believe', 'frequently', 'buy', 'together', 'claim', 'think', 'would', 'provide', 'good', 'fit', 'brush', 'fit', 'fine', 'razor', 'may', 'send', 'stand', 'back', 'amazon', 'otherwise', 'stand', 'promise', 'brush', 'keep']"
5.0,"Love it! Looks great on my bathroom sink. Level, sturdy, well-made. Perfect fit in finish and style for my Merkur 34C.",Excellent product!,"['love', 'look', 'great', 'bathroom', 'sink', 'level', 'sturdy', 'wellmade', 'perfect', 'fit', 'finish', 'style', 'merkur', 'c']"
5.0,A necessary fixture for the DE shave enthusiast. My brush and razor look very tidy in this piece. It is also small enough to fit on the bottom shelf on my bathroom mirror cabinet. A+,Take good care of your badger!,"['necessary', 'fixture', 'de', 'shave', 'enthusiast', 'brush', 'razor', 'look', 'tidy', 'piece', 'also', 'small', 'enough', 'fit', 'bottom', 'shelf', 'bathroom', 'mirror', 'cabinet']"
5.0,Heavy duty and feels like it should cost twice as much.,Five Stars,"['heavy', 'duty', 'feel', 'like', 'cost', 'twice', 'much']"
5.0,This is a terrific product. I enjoy having a holder for my shaving brush and for my razor. I have different types of razors and they all fit in the slot. Well built. Sturdy.,Makes shaving more enjoyable,"['terrific', 'product', 'enjoy', 'holder', 'shaving', 'brush', 'razor', 'different', 'type', 'razor', 'fit', 'slot', 'well', 'build', 'sturdy']"
5.0,Super sturdy! Holds my brush and Harry's stainless handle razor perfectly.,Awesome stand!,"['super', 'sturdy', 'hold', 'brush', 'harry', 'stainless', 'handle', 'razor', 'perfectly']"
5.0,"Nice combo. Base doesn't rattle or tilt. I like that I can keep my brush to air dry suspended on the rack. I'm not quite sure, though, if I want to hang my razor on the rack or keep it in a coffee mug with a little Swan mineral oil just to keep the blades sharper and reduce oxidization. My other concern with using the rack to hang a razor is that if you leave the razor blade inside, someone could inadvertently swipe their hand and cut themselves on the razor.

In any event, this rack does the job and doesn't take up too much space. Recommended.",Good Base and Good Air Dry Feature for Brushes,"['nice', 'combo', 'base', 'nt', 'rattle', 'tilt', 'like', 'keep', 'brush', 'air', 'dry', 'suspend', 'rack', 'quite', 'sure', 'though', 'want', 'hang', 'razor', 'rack', 'keep', 'coffee', 'mug', 'little', 'swan', 'mineral', 'oil', 'keep', 'blade', 'sharp', 'reduce', 'oxidization', 'concern', 'use', 'rack', 'hang', 'razor', 'leave', 'razor', 'blade', 'inside', 'someone', 'could', 'inadvertently', 'swipe', 'hand', 'cut', 'razor', 'event', 'rack', 'job', 'nt', 'take', 'much', 'space', 'mended']"
5.0,Has a very solid base and securely holds my safety razor blade. Plus the chrome finish looks cool!,Plus the chrome finish looks cool!,"['solid', 'base', 'securely', 'hold', 'safety', 'razor', 'blade', 'plus', 'chrome', 'finish', 'look', 'cool']"
5.0,"This is a beautiful and very sturdy stand. The one that came with my husband's razor broke, and he only had it since Christmas! I highly recommend this item.",Good quality at a great price!,"['beautiful', 'sturdy', 'stand', 'one', 'come', 'husband', 'razor', 'broke', 'since', 'christmas', 'highly', 'mend', 'item']"
5.0,"I ordered this to protect the brush only.  Due to limited space on the counter top my husband elected to place the stand in the mug after shaving and hung the brush on it.  I must admit it looks classy with the brush hanging in the mug.  The stand, being chrome, is of good quality and for that I thank you.",Perfect addition to your shaving ritual,"['order', 'protect', 'brush', 'due', 'limited', 'space', 'counter', 'top', 'husband', 'elect', 'place', 'stand', 'mug', 'shaving', 'hung', 'brush', 'must', 'admit', 'look', 'classy', 'brush', 'hang', 'mug', 'stand', 'chrome', 'good', 'quality', 'thank']"
5.0,"I got this stand to hold my DE and shave brush.  Great and attractive stand.  Look much nicer than just leaving my razor and brush on my counter.
Also turns out that hanging your shaving brush is the best way to dry.",Great and attractive stand for your bathroom counter,"['get', 'stand', 'hold', 'de', 'shave', 'brush', 'great', 'attractive', 'stand', 'look', 'much', 'nicer', 'leave', 'razor', 'brush', 'counter', 'also', 'turn', 'hang', 'shaving', 'brush', 'good', 'way', 'dry']"
5.0,"Quality finish, heavy and long enough for a Merkur 23C",Perfect,"['quality', 'finish', 'heavy', 'long', 'enough', 'merkur', 'c']"
5.0,Great stand it does the job at a low price point.,Great low cost razor and brush stand,"['great', 'stand', 'job', 'low', 'price', 'point']"
5.0,"This stand is solid and heavy. Works great. I do wish it had a bowl under the brush, but all the stands with the bowl on the bottom weren't as heavy or solid as this one. However, after months of using it, there aren't any water spots under where the brush hangs, so it really doesn't drip anyway.",Solid and heavy,"['stand', 'solid', 'heavy', 'work', 'great', 'wish', 'bowl', 'brush', 'stand', 'bowl', 'bottom', 'nt', 'heavy', 'solid', 'one', 'however', 'month', 'use', 'nt', 'water', 'spot', 'brush', 'hangs', 'really', 'nt', 'drip', 'anyway']"
5.0,"Exactly what I needed, this thing is but to last, PERFECTO!",Perfecto!,"['exactly', 'need', 'thing', 'last', 'perfecto']"
5.0,Works great and as described. Perfect for standard brush and razor. Essential for any gentleman.,Five Stars,"['work', 'great', 'describe', 'perfect', 'standard', 'brush', 'razor', 'essential', 'gentleman']"
3.0,"After ten months the chrome began to flake off from pole.  Just sat in my shower, no odd uses to cause the flaking.  Other than that, has worked well.",After ten months the chrome began to flake off from ...,"['ten', 'month', 'chrome', 'begin', 'flake', 'pole', 'sat', 'shower', 'odd', 'use', 'cause', 'flake', 'work', 'well']"
5.0,Works as intended and fits in almost any space. Has kept my brush's shape and kept both my brush and razor clean.,Works as intended and fits in almost any space. ...,"['work', 'intend', 'fit', 'almost', 'space', 'keep', 'brush', 'shape', 'keep', 'brush', 'razor', 'clean']"
5.0,Received this last week. Appears to be well constructed and performs well as stated. Look forward to may years of use with this product.,Received this last week. Appears to be well constructed ...,"['receive', 'last', 'week', 'appear', 'well', 'construct', 'perform', 'well', 'state', 'look', 'forward', 'may', 'year', 'use', 'product']"
1.0,Arrived broken. Poor quality. Disappointed.,Poor quality. Disappointed,"['arrive', 'break', 'poor', 'quality', 'disappointed']"
5.0,I use this to hold my Viking razor and Edwin Jagger brush.  The chrome finish looks great and has a nice weight to it.  It helps keep my bathroom counter looking organized and sophisticated without breaking the bank.,Awesome razor stand for the money,"['use', 'hold', 'vike', 'razor', 'edwin', 'jagger', 'brush', 'chrome', 'finish', 'look', 'great', 'nice', 'weight', 'help', 'keep', 'bathroom', 'counter', 'look', 'organize', 'sophisticated', 'without', 'break', 'bank']"
5.0,"Well, I've only had the product for a few days but from what I can tell in this short period of time, I'm very happy with the stand. It is made of top quality materials. I like the rubber material on the base. It stays in place on my sink.",I'm very happy with the stand,"['well', 'product', 'day', 'tell', 'short', 'period', 'time', 'happy', 'stand', 'make', 'top', 'quality', 'material', 'like', 'rubber', 'material', 'base', 'stay', 'place', 'sink']"
5.0,I bought it for my husband as a present and he LOVES it!!! It looks really sophisticated and it's practical. He is really thankful.,I bought it for my husband as a present and ...,"['buy', 'husband', 'present', 'love', 'look', 'really', 'sophisticated', 'practical', 'really', 'thankful']"
